gender,name,partyLabel,areaLabel
male,PELAYO ONDO NDONG,PDGE,MALABO
male,GABRIEL MBA BELA,PDGE,MALABO
female,EVANGELINA-FILOMENA OYO EBLE,PDGE,MALABO
female,TRINIDAD MBULITO MESAKA,PDGE,MALABO
female,MARÍA DEL PILAR BUEPOYO BOSEKA,PDGE,MALABO
female,MARÍA DEL CARMEN ANDEME ELA,PDGE,MALABO
male,FRANCISCO MBA OLO BAHAMONDE,PDGE,MALABO
male,ALFONSO NSUE MOKUY,PDGE,MALABO
male,PLÁCIDO MIKO ABOGO,CPDS,MALABO
male,CELESTINO-BONIFACIO BACALE,CPDS,MALABO
male,EULOGIO OYO RIQUESA,PDGE,BANEY
male,MIGUEL ABIA BITEO BORICO,PDGE,BANEY
male,HERMÓGENES EJAPA COFFI,PDGE,BANEY
male,FRANCISCO MASA BELOPE,PDGE,REBOLA
male,GAUDENCIO MOHABÁ MESU,PDGE,LUBA
male,CÁNDIDO MUATETEMA RIVAS,PDGE,LUBA
male,ANGEL SERAFÍN SERICHE DOUGAN,PDGE,LUBA
male,ANICETO EBIAKA MOETE,PDGE,LUBA
male,VICENTE EHATE TOMI,PDGE,RIABA
male,TEOFILO NGUEMA ESONO,PDGE,RIABA
male,LEONCIO PANADES GARCÍA,PDGE,ANNOBÓN
male,HILARIO SISA TORRES,PDGE,ANNOBÓN
male,CIRIACO TAMARITE BURGOS,PDGE,ANNOBÓN
male,FRANCISCO GARCÍA GAETJENS,PDGE,BATA
male,AMADO NGUEMA OWONO,PDGE,BATA
male,TEODORO NGUEMA OBIANG MANGUE,PDGE,BATA
male,FORTUNATO NZAMBI MACHINDE,PDGE,BATA
male,SANTIAGO NGUA NFUMU EYANG,PDGE,BATA
male,BONIFACIO MANGA OBIANG,PDGE,BATA
male,JOSÉ MARÍA ANDJIMI ONDO BECHENG,PDGE,BATA
male,MARCELINO OYONO NTUTUMU,PDGE,MACHINDA
male,MAURICIO BOKUNG ASUMU,PDGE,MACHINDA
male,FLORENCIO MAYANGA MBELA,PDGE,RIO CAMPO
male,SAMUEL ATEBA OWONO,PDGE,MBINI
female,ANACLETA OYANA NGUEMA,PDGE,MBINI
male,PRÁXEDES RABAT MACAMBO,PDGE,MBINI
male,ESTEBAN NDONG MEMBIA,PDGE,BITIKA
male,FRANCISCO PASCUAL OBAM ASUE,PDGE,COGO
female,ASUNCIÓN EYANG NCHUCHUMA,PDGE,COGO
male,FRANCISCO MABALE NSENG,PDGE,COGO
male,SANTIAGO HINESTROSA BEHOLI,PDGE,CORISCO
male,CELESTINO MANSOGO NSI,PDGE,EVINAYONG
male,IGNACIO MILAM TANG,PDGE,EVINAYONG
male,DOMINGO ANTONIO NVE MBA,PDGE,EVINAYONG
male,FLORENCIO GERARDO ONDO EKANG,PDGE,EVINAYONG
male,LUIS OYONO ESONO,PDGE,EVINAYONG
female,MARGARITA ALENE MBA,PDGE,EVINAYONG
male,BUENAVENTURA MONSUY ESONO,PDGE,BIKURGA
male,FRANCISCO ABAHA NDONG,PDGE,BIKURGA
male,TEÓFILO ONDO ELA ASUE,PDGE,NIEFANG
male,ATANASIO ELA NTUGU NSA,PDGE,NIEFANG
male,MANUEL SIMA NNEME,PDGE,NIEFANG
male,ANTONIO NCULU ASUMU ANGUE,PDGE,NIEFANG
male,LEANDRO ELA BIYANG,PDGE,NKIMI
male,MIGUEL EDJANG ANGUE,PDGE,NKIMI
male,ANGEL ALOGO NCHAMA,PDGE,AKURENAM
male,BENJAMÍN PABLO NDONG MIBUI,PDGE,AKURENAM
male,MARIANO ESONO ONDO MIBUI,PDGE,AKURENAM
male,SANTIAGO ENGONGA NDONG,PDGE,AKURENAM
male,ALEJANDRO ENVORO OVONO,PDGE,MONGOMO
female,VICTORIANA NCHAMA NSUE,PDGE,MONGOMO
male,DEMETRIO ELO NDONG NSEFUMU,PDGE,MONGOMO
male,FRANCISCO ASUMU BIKUY,PDGE,MONGOMO
male,SEVERINO ONDO NGUEMA,PDGE,MONGOMO
female,TERESA EFUA ASANGONO,PDGE,MONGOMO
female,JESUSA OBONO ENGONO,PDGE,MONGOMEYEN
male,BATHÓ OBAM NSUE MENGUE,PDGE,MONGOMEYEN
male,ALEJANDRO EVUNA OWONO,PDGE,MONGOMEYEN
male,AGUSTÍN NSE NFUMU,PDGE,AÑISOK
male,SALOMÓN NGUEMA OWONO,PDGE,AÑISOK
male,CRISTÓBAL MEÑANA ELA,PDGE,AÑISOK
male,LUCIANO ASUMU EDJANG,PDGE,AÑISOK
male,SANTIAGO NSOBEYA EFUMAN,PDGE,AYENE
female,PILAR ASANGONO OSA,PDGE,AYENE
male,ANGEL ESONO ABAHA MANGUE,PDGE,NSORK
male,CARLOS EYI OBAMA NSANG,PDGE,NSORK
male,FIDEL MARCOS MAÑE NCOGO,PDGE,NSORK
male,ANTONIO FERNANDO NVE NGU,PDGE,ACONIBE
male,JAIME ELA NDONG,PDGE,ACONIBE
male,GUILLERMO OBAMA NZE,PDGE,ACONIBE
female,MAGDALENA EYANG ONDO,PDGE,ACONIBE
male,ELÍAS ONDO EDJO,PDGE,EBEBIYIN
male,FÉLIX MONSUY ENGO,PDGE,EBEBIYIN
male,JUAN FERNANDO NVARA ENONGA,PDGE,EBEBIYIN
male,ALEJANDRO EDU BEE,PDGE,EBEBIYIN
male,FEDERICO EDJO OVONO,PDGE,EBEBIYIN
male,JOSE MANUEL AKONO MONSUY,PDGE,EBEBIYIN
female,JACINTA MBANG NGUEMA,PDGE,BIDJABIDJAN
male,RICARDO MANGUE OBAMA NFUBE,PDGE,BIDJABIDJAN
male,PABLO ABAGA MANGUE,PDGE,BIDJABIDJAN
male,ANGEL MASIE MIBUY,PDGE,MICOMESENG
male,LUCAS NGUEMA ESONO MBA,PDGE,MICOMESENG
male,MIGUEL OYONO NDONG MIFUMU,PDGE,MICOMESENG
male,MARIANO OBIANG NSANG,PDGE,NKUE
male,CARMELO MODU AKUSE,PDGE,NKUE
male,ANTONIO NDIBA AVOMO,PDGE,NSANG
male,FORTUNATO OFA MBO NCHAMA,PDGE,NSOK-NSOMO
male,BASILIO EDU NGUEMA NSANG,PDGE,NSOK-NSOMO
male,FILIBERTO NSUE MIBIMI,PDGE,NSOK-NSOMO
female,BERNARDITA ANGUESOMO EKEKANG,PDGE,NSOK-NSOMO
